MSOA11CD,Local authority,covid_19_deaths_per_thousand,total_population_mid_2018,death_rate,over_70_prop,proportion_at_risk_jobs,all_black_prop,Hypertension,Obesity (18+),Diabetes
E02000161,Bromley,0.567665758,8808,0.064448883,0.141689373,0.26345879,0.022711058,14.13,5.07,4.66
E02000162,Bromley,0.572246066,6990,0.08186639,0.203433476,0.277018229,0.017032721,15.43,6.13,4.68
E02000163,Bromley,0.386398764,7764,0.049768001,0.166409067,0.242273442,0.012679739,14.34,5.17,4.42
E02000165,Bromley,0.286368843,6984,0.041003557,0.113402062,0.294965849,0.009652236,15.98,6.39,4.49
E02000166,Camden,0.439947206,9092,0.048388386,0.136053674,0.207424128,0.057294296,9.87,3.88,3.23
E02000167,Camden,0.105965879,9437,0.011228768,0.145597118,0.154615734,0.018630413,10.76,3.09,2.54
E02000168,Camden,0.210504157,9501,0.022156,0.09314809,0.190137717,0.056779246,10.43,4.27,3.65
E02000169,Camden,0.543537341,9199,0.059086568,0.121752364,0.144669366,0.024486055,9.33,2.84,2.4
E02000170,Camden,0.206398349,9690,0.021300139,0.081630547,0.193111686,0.045814344,8.5,3.38,3.03
E02000171,Camden,0.422654269,9464,0.044659158,0.094040575,0.193117978,0.042849834,10.17,4.06,3.15
E02000172,Camden,0.826377985,12101,0.068290057,0.079001735,0.255945373,0.120232581,10.79,5.08,4.37
E02000173,Camden,0,9893,0,0.089052866,0.192228571,0.038697068,9.29,3.34,2.53
E02000174,Camden,0.390777648,10236,0.038176792,0.067702227,0.192266148,0.10087216,9.03,3.99,3.54
E02000175,Camden,0.355871886,11240,0.0316612,0.062811388,0.165972851,0.074367089,8.19,3.41,2.59
E02000176,Camden,0.13065064,7654,0.01706959,0.102430102,0.139336016,0.022438412,9.78,3.73,2.78
E02000177,Camden,0.477828746,10464,0.045664062,0.096712538,0.233527132,0.123491283,11.16,5.09,4.27
E02000178,Camden,0.287797391,10424,0.027609113,0.062356101,0.210805301,0.126679463,9.87,5.06,3.77
E02000179,Camden,0.263956711,7577,0.034836573,0.106110598,0.195082498,0.099699795,9.51,3.64,2.82
E02000180,Camden,0.204834084,9764,0.020978501,0.061347808,0.225093168,0.109607413,8.67,4.23,3.68
E02000181,Camden,0.109421162,9139,0.011972991,0.07254623,0.139855819,0.038012455,9.34,4.26,3.22
E02000182,Camden,0.345821326,8675,0.03986413,0.101325648,0.170327921,0.064207854,8.18,3.52,2.68
E02000183,Camden,0.348351138,8612,0.040449505,0.110775662,0.176744186,0.057121193,10.64,3.44,3.02
E02000184,Camden,0.390205834,10251,0.038065148,0.053750854,0.264713248,0.119455078,9.4,4.54,3.93
E02000185,Camden,0.502310629,9954,0.050463194,0.095639944,0.232786017,0.144873341,11.13,5.42,4.28
